#{"t_start": 1779012130.100302, "env_id": "f110-v0"}
r,l,t,is_success
1027.916063,348,1167.822724,False
7580.678601,2495,1175.993154,False
927.935837,357,1178.138696,False
-350.189408,686,1179.731862,False
568.507948,222,1181.600118,False
332.044791,159,1182.12923,False
-5.441003,67,1182.362444,False
1314.267283,434,1183.874885,False
1495.212433,549,1187.083739,False
2413.559531,823,1190.673585,False
-14.234749,459,1191.952412,False
1347.735197,469,1193.194818,False
2400.764332,761,1196.369067,False
29.478736,73,1196.606728,False
825.348224,280,1198.869063,False
704.481306,271,1199.576539,False
804.653575,320,1200.360246,False
43.840064,89,1200.629923,False
382.907412,151,1201.003088,False
-69.238756,75,1201.419055,False
1529.566314,547,1204.296333,False
876.263153,341,1205.25402,False
353.775542,144,1205.748921,False
640.373983,252,1207.4596829.6421271003.019904,366,1208.578141,False
739.978167,300,1209.4531801.7117412447.458452,799,1212.904757,False
1030.659835,361,1213.793796,False
20.941883,78,1215.2173806.01956,1068.161054,414,1216.551688.173458,1620.627494,589,1219.161433.753187,1107.277417,386,1220.201579.729123,1374.165509,523,1221.75636.386676,245,1222.271834,False
379.1243441834.347185,654,1225.214509,False
845.322351,310,1226.087353,False
1286.446872,463,1228.362266,False
1398.216134,502,1229.577274,False
1395.155262,481,1232.061363,False
1545.141298,577,1233.5482456.5858622859.390145,1407,1238.98-773.781519,2387,1242.591702,False
1123.498274,448,1243.584334,False
2974.907168,1006,1246.736333,False
1016.266263,372,1248.676417,False
3101.081985,1042,1252.108378,False
2559.076675,859,1254.132787,False
816.910274,313,1256.13147,False
4876.741433,1781,1261.860236,False
1141.515336,407,1263.892071,False
520.07636,212,1264.608069,False
700.555773,291,1265.469536,False
1007.623845,360,1275.073314,False
18.41539,79,1275.319792,False
1799.0054,619,1276.848741,False
2111.236242,692,1279.912492,False
1376.082385,509,1282.532215,False
1874.124418,665,1284.127989,False
1410.559881,498,1286.515856,False
1511.185809,548,1287.893341,False
462.515571,207,1288.470361,False
1084.516893,413,1290.557702,False
548.784472,193,1291.238997,False
913124.915122,1114,1294.788965,False
.692358.673841,835,1294.383431,False
5366,False
2040.79659,677,1219.92628,False
792.438057,299,1220.681976,False
441.375696,178,1221.286638,False
579.064163,202,1222.12564,False
2674.251298,899,1225.87151,False
542.008691,244,1227.666749,False
2018.492169,763,1229.430804,False
829.402601,360,1231.723781,False
307.466076,155,1232.221821,False
1638.940437,554,1233.67706,False
1726.539481,581,1236.23393,False
2217.513584,1508,1240.554588,False
24.01065,84,1242.109276,False
706.691899,1249,1245.916573,False
5966.958558,1964,1252.404053,False
1791.404721,617,1253.793751,False
1498.057404,578,1256.501878,False
394.802294,193,1257.083771,False
812.549501,292,1257.688693,False
675.743484,328,1259.760079,False
1200.705549,446,1260.783808,False
4665.368429,1943,1275.922313,False
1452.602161,528,1277.288833,False
565.913338,231,1278.956639,False
87.758028,138,1279.433141,False
1625.38028,638,1281.146517,False
1924.944363,687,1283.916891,False
604.444758,251,1284.697859,False
3064.854447,1033,1288.305538,False
1677.022256,599,1291.06669,False
